time	W	Freq	Temp
1615072341.81	6.767	1400000	70.0	
1615072342.01	6.767	1500000	70.0	
1615072342.21	6.767	1400000	70.0	
1615072342.41	6.767	1300000	69.0	
1615072342.61	6.767	1400000	69.0	
1615072342.81	6.34	1500000	69.0	
1615072343.01	6.34	1400000	70.0	
1615072343.21	6.34	1300000	69.0	
1615072343.41	6.34	1400000	69.0	
1615072343.61	6.34	1500000	69.0	
1615072343.81	6.321	1400000	70.0	
1615072344.01	6.321	1500000	70.0	
1615072344.21	6.321	1400000	70.0	
1615072344.41	6.321	1300000	69.0	
1615072344.61	6.321	1400000	69.0	
1615072344.81	6.149	1500000	69.0	
1615072345.01	6.149	1400000	70.0	
1615072345.21	6.149	1500000	70.0	
1615072345.41	6.149	1400000	70.0	
1615072345.61	6.149	1300000	69.0	
1615072345.82	6.149	1400000	69.0	
1615072346.02	6.149	1500000	70.0	
1615072346.22	6.714	1400000	70.0	
1615072346.42	6.714	1300000	69.0	
1615072346.62	6.714	1400000	69.0	
1615072346.82	6.187	1500000	69.0	
1615072347.02	6.187	1400000	70.0	
1615072347.22	6.187	1300000	69.0	
1615072347.42	6.187	1400000	69.0	
1615072347.62	6.187	1500000	70.0	
1615072347.82	6.328	1400000	70.0	
1615072348.02	6.328	1300000	69.0	
1615072348.22	6.328	1400000	69.0	
1615072348.42	6.328	1500000	70.0	
1615072348.62	6.328	1400000	70.0	
1615072348.82	6.313	1300000	69.0	
1615072349.02	6.313	1400000	69.0	
1615072349.22	6.313	1500000	70.0	
1615072349.42	6.313	1400000	70.0	
1615072349.62	6.313	1300000	69.0	
1615072349.82	6.313	1400000	69.0	
1615072350.02	6.313	1500000	70.0	
1615072350.22	6.313	1400000	70.0	
1615072350.42	6.313	1300000	69.0	
1615072350.63	6.313	1400000	69.0	
1615072350.83	6.313	1500000	70.0	
1615072351.03	6.313	1400000	70.0	
1615072351.23	6.313	1300000	69.0	
1615072351.43	6.313	1400000	69.0	
