time	W	usage_c0	usage_c1	usage_c2	usage_c3	usage_c4	usage_c5	usage_c6	usage_c7	temp4	temp5	temp6	temp7
1614983172.68	8.744	0.167	0.0	0.0	0.0	1.0	1.0	1.0	1.0	80.0	84.0	84.0	77.0	
1614983172.88	9.359	0.25	0.1	0.0	0.0	1.0	1.0	1.0	1.0	80.0	85.0	84.0	77.0	
1614983173.08	9.359	0.2	0.0	0.05	0.0	1.0	1.0	1.0	1.0	80.0	85.0	84.0	77.0	
1614983173.28	9.359	0.111	0.0	0.0	0.0	1.0	1.0	1.0	1.0	80.0	84.0	84.0	77.0	
1614983173.49	9.359	0.211	0.0	0.0	0.0	1.0	1.0	1.0	1.0	80.0	85.0	84.0	78.0	
1614983173.69	9.359	0.211	0.0	0.0	0.0	1.0	1.0	1.0	1.0	80.0	84.0	84.0	77.0	
1614983173.89	9.313	0.211	0.0	0.0	0.0	1.0	1.0	1.0	1.0	80.0	85.0	84.0	77.0	
1614983174.09	9.313	0.158	0.0	0.048	0.0	1.0	1.0	1.0	1.0	81.0	85.0	84.0	78.0	
1614983174.29	9.313	0.111	0.0	0.0	0.0	1.0	1.0	1.0	1.0	80.0	84.0	84.0	77.0	
1614983174.49	9.313	0.25	0.05	0.0	0.0	1.0	1.0	1.0	1.0	80.0	85.0	84.0	78.0	
1614983174.69	9.313	0.2	0.095	0.0	0.0	1.0	1.0	1.0	1.0	80.0	85.0	84.0	77.0	
1614983174.89	9.199	0.176	0.0	0.0	0.0	1.0	1.0	1.0	1.0	80.0	84.0	84.0	77.0	
1614983175.09	9.199	0.167	0.05	0.0	0.0	1.0	1.0	1.0	1.0	81.0	85.0	85.0	78.0	
1614983175.29	9.199	0.15	0.05	0.0	0.0	1.0	1.0	1.0	1.0	80.0	84.0	84.0	77.0	
1614983175.49	9.199	0.167	0.0	0.05	0.0	1.0	1.0	1.0	1.0	80.0	85.0	84.0	77.0	
1614983175.69	9.199	0.2	0.0	0.0	0.0	1.0	1.0	1.0	1.0	81.0	85.0	84.0	78.0	
1614983175.89	9.199	0.118	0.05	0.048	0.0	1.0	1.0	1.0	1.0	80.0	84.0	84.0	77.0	
1614983176.09	8.867	0.2	0.0	0.0	0.0	1.0	1.0	1.0	1.0	81.0	85.0	85.0	78.0	
