time	W	Freq	Temp
1615070899.42	5.867	1300000	69.0	
1615070899.62	5.867	1400000	70.0	
1615070899.82	6.458	1300000	69.0	
1615070900.02	6.458	1400000	70.0	
1615070900.22	6.458	1300000	70.0	
1615070900.42	6.458	1200000	69.0	
1615070900.62	6.458	1300000	69.0	
1615070900.83	5.897	1400000	70.0	
1615070901.03	5.897	1300000	69.0	
1615070901.23	5.897	1400000	70.0	
1615070901.43	5.897	1300000	69.0	
1615070901.63	5.897	1400000	70.0	
1615070901.83	6.237	1300000	69.0	
1615070902.03	6.237	1400000	70.0	
1615070902.23	6.237	1300000	70.0	
1615070902.43	6.237	1200000	69.0	
1615070902.63	6.237	1300000	69.0	
1615070902.83	5.912	1400000	70.0	
1615070903.03	5.912	1300000	69.0	
1615070903.23	5.912	1400000	70.0	
1615070903.43	5.912	1300000	69.0	
1615070903.63	5.912	1400000	70.0	
1615070903.83	5.912	1300000	70.0	
1615070904.03	6.485	1400000	70.0	
1615070904.23	6.485	1300000	70.0	
1615070904.43	6.485	1400000	70.0	
1615070904.63	6.485	1300000	70.0	
1615070904.83	6.447	1400000	70.0	
1615070905.03	6.447	1300000	70.0	
1615070905.23	6.447	1400000	70.0	
1615070905.44	6.447	1300000	70.0	
1615070905.64	6.447	1400000	70.0	
1615070905.84	6.16	1300000	70.0	
1615070906.04	6.16	1200000	69.0	
1615070906.24	6.16	1300000	69.0	
1615070906.44	6.16	1400000	70.0	
1615070906.64	6.16	1300000	70.0	
1615070906.84	6.454	1400000	70.0	
1615070907.04	6.454	1300000	69.0	
1615070907.24	6.454	1400000	70.0	
1615070907.44	6.454	1300000	69.0	
1615070907.64	6.454	1200000	69.0	
1615070907.84	6.431	1300000	69.0	
1615070908.04	6.431	1400000	70.0	
1615070908.24	6.431	1300000	69.0	
1615070908.44	6.431	1400000	70.0	
1615070908.64	6.431	1300000	70.0	
1615070908.84	6.431	1400000	70.0	
1615070909.04	6.157	1300000	70.0	
1615070909.24	6.157	1400000	70.0	
1615070909.44	6.157	1300000	69.0	
1615070909.64	6.157	1200000	69.0	
1615070909.84	6.157	1300000	69.0	
1615070910.04	6.157	1400000	70.0	
1615070910.25	6.157	1300000	69.0	
1615070910.45	6.157	1400000	70.0	
1615070910.65	6.157	1300000	69.0	
1615070910.85	6.157	1400000	70.0	
1615070911.05	6.157	1300000	70.0	
1615070911.25	6.157	1200000	69.0	
1615070911.45	6.157	1300000	69.0	
1615070911.65	6.157	1400000	70.0	
1615070911.85	6.157	1300000	69.0	
