time	W	Freq	Temp
1614991201.19	9.336	1800000	84.0	
1614991201.39	9.336	1700000	84.0	
1614991201.59	9.336	1800000	82.0	
1614991201.79	9.336	1700000	85.0	
1614991201.99	8.493	1700000	84.0	
1614991202.19	8.493	1800000	82.0	
1614991202.39	8.493	1800000	85.0	
1614991202.59	8.493	1700000	86.0	
1614991202.79	8.493	1700000	82.0	
1614991202.99	8.157	1800000	85.0	
1614991203.19	8.157	1700000	85.0	
1614991203.4	8.157	1800000	82.0	
1614991203.6	8.157	1800000	85.0	
1614991203.8	8.157	1700000	84.0	
1614991204.0	9.222	1800000	83.0	
1614991204.2	9.222	1700000	84.0	
1614991204.4	9.222	1700000	84.0	
1614991204.6	9.222	1800000	83.0	
1614991204.8	9.222	1800000	85.0	
1614991205.0	8.664	1600000	85.0	
1614991205.2	8.664	1600000	81.0	
1614991205.4	8.664	1700000	83.0	
1614991205.6	8.664	1700000	83.0	
1614991205.8	8.664	1800000	82.0	
1614991206.0	8.061	1700000	85.0	
1614991206.2	8.061	1700000	84.0	
1614991206.4	8.061	1800000	83.0	
1614991206.6	8.061	1800000	85.0	
1614991206.8	8.061	1700000	85.0	
1614991207.0	9.683	1800000	83.0	
1614991207.2	9.683	1800000	85.0	
1614991207.4	9.683	1700000	85.0	
1614991207.6	9.683	1800000	84.0	
1614991207.8	9.683	1700000	85.0	
1614991208.01	8.351	1700000	85.0	
1614991208.21	8.351	1800000	84.0	
1614991208.41	8.351	1700000	85.0	
1614991208.61	8.351	1700000	84.0	
1614991208.81	8.351	1800000	84.0	
1614991209.01	8.16	1700000	85.0	
1614991209.21	8.16	1800000	85.0	
1614991209.41	8.16	1800000	84.0	
1614991209.61	8.16	1700000	84.0	
1614991209.81	8.16	1800000	85.0	
1614991210.01	9.092	1800000	84.0	
1614991210.21	9.092	1800000	86.0	
1614991210.41	9.092	1700000	84.0	
1614991210.61	9.092	1800000	84.0	
1614991210.81	9.092	1700000	85.0	
1614991211.01	8.0	1700000	83.0	
1614991211.21	8.0	1800000	85.0	
1614991211.41	8.0	1700000	85.0	
1614991211.61	8.0	1800000	82.0	
1614991211.81	8.0	1800000	85.0	
1614991212.01	7.878	1700000	85.0	
1614991212.21	7.878	1800000	82.0	
1614991212.41	7.878	1800000	85.0	
1614991212.61	7.878	1700000	85.0	
1614991212.81	7.878	1800000	83.0	
1614991213.02	8.512	1700000	85.0	
1614991213.22	8.512	1700000	84.0	
1614991213.42	8.512	1800000	84.0	
1614991213.62	8.512	1700000	85.0	
1614991213.82	8.512	1700000	84.0	
1614991214.02	8.725	1700000	83.0	
1614991214.22	8.725	1800000	85.0	
1614991214.42	8.725	1700000	83.0	
1614991214.62	8.725	1800000	84.0	
1614991214.82	8.725	1800000	85.0	
1614991215.02	8.099	1700000	82.0	
1614991215.22	8.099	1800000	85.0	
1614991215.42	8.099	1700000	85.0	
1614991215.62	8.099	1800000	83.0	
1614991215.82	8.099	1800000	85.0	
1614991216.02	8.409	1700000	83.0	
1614991216.22	8.409	1800000	85.0	
1614991216.42	8.409	1700000	86.0	
1614991216.62	8.409	1700000	82.0	
1614991216.82	8.409	1800000	85.0	
1614991217.02	8.458	1700000	85.0	
1614991217.23	8.458	1800000	83.0	
1614991217.43	8.458	1800000	85.0	
1614991217.63	8.458	1700000	85.0	
1614991217.83	8.458	1800000	84.0	
1614991218.03	9.306	1700000	85.0	
1614991218.23	9.306	1800000	85.0	
1614991218.43	9.306	1800000	85.0	
1614991218.63	9.306	1700000	85.0	
1614991218.83	9.306	1800000	85.0	
1614991219.03	9.412	1800000	85.0	
1614991219.23	9.412	1700000	85.0	
1614991219.43	9.412	1800000	85.0	
1614991219.63	9.412	1800000	85.0	
1614991219.83	9.412	1700000	85.0	
1614991220.03	9.374	1700000	85.0	
1614991220.23	9.374	1800000	85.0	
1614991220.43	9.374	1700000	86.0	
1614991220.63	9.374	1600000	84.0	
1614991220.83	9.374	1700000	83.0	
1614991221.03	9.374	1700000	84.0	
1614991221.23	7.29	1700000	84.0	
1614991221.43	7.29	1700000	83.0	
1614991221.63	7.29	1700000	85.0	
1614991221.83	7.29	1700000	85.0	
1614991222.04	9.294	1700000	83.0	
1614991222.24	9.294	1800000	85.0	
1614991222.44	9.294	1700000	85.0	
1614991222.64	9.294	1800000	84.0	
1614991222.84	9.294	1800000	86.0	
1614991223.04	8.347	1700000	85.0	
1614991223.24	8.347	1800000	85.0	
1614991223.44	8.347	1700000	86.0	
1614991223.64	8.347	1800000	85.0	
1614991223.84	8.347	1800000	85.0	
1614991224.04	8.535	1700000	85.0	
1614991224.24	8.535	1800000	86.0	
1614991224.44	8.535	1800000	85.0	
1614991224.64	8.535	1700000	86.0	
1614991224.84	8.535	1600000	84.0	
1614991225.04	9.63	1700000	83.0	
1614991225.24	9.63	1700000	84.0	
1614991225.44	9.63	1600000	85.0	
1614991225.64	9.63	1600000	82.0	
1614991225.84	9.63	1700000	84.0	
1614991226.04	7.531	1700000	84.0	
1614991226.24	7.531	1700000	83.0	
1614991226.45	7.531	1800000	85.0	
1614991226.65	7.531	1700000	85.0	
1614991226.85	7.531	1800000	84.0	
1614991227.05	8.645	1700000	85.0	
1614991227.25	8.645	1800000	85.0	
1614991227.45	8.645	1800000	84.0	
1614991227.65	8.645	1700000	86.0	
1614991227.85	8.645	1700000	85.0	
1614991228.05	8.645	1800000	85.0	
1614991228.25	9.138	1700000	86.0	
1614991228.45	9.138	1600000	84.0	
1614991228.65	9.138	1700000	82.0	
1614991228.85	9.138	1700000	84.0	
1614991229.05	7.401	1600000	85.0	
1614991229.25	7.401	1600000	81.0	
1614991229.45	7.401	1700000	83.0	
1614991229.65	7.401	1700000	84.0	
1614991229.85	7.401	1700000	82.0	
1614991230.05	7.401	1800000	85.0	
1614991230.25	7.401	1700000	85.0	
1614991230.45	7.401	1800000	83.0	
1614991230.65	7.401	1800000	85.0	
1614991230.85	7.401	1700000	85.0	
1614991231.05	7.401	1700000	83.0	
1614991231.25	7.401	1800000	85.0	
1614991231.46	7.401	1700000	87.0	
1614991231.66	7.401	1700000	83.0	
1614991231.86	7.401	1800000	86.0	
1614991232.06	7.401	1600000	85.0	
1614991232.26	7.401	1600000	82.0	
1614991232.46	7.401	1700000	84.0	
1614991232.66	7.401	1700000	85.0	
1614991232.86	8.767	1600000	82.0	
1614991233.06	8.767	1700000	83.0	
1614991233.26	8.767	1700000	84.0	
1614991233.46	8.767	1700000	83.0	
1614991233.66	8.767	1800000	84.0	
1614991233.86	8.767	1700000	85.0	
1614991234.06	8.863	1700000	83.0	
1614991234.26	8.863	1800000	85.0	
1614991234.46	8.863	1700000	85.0	
1614991234.66	8.863	1800000	83.0	
1614991234.86	8.863	1700000	86.0	
1614991235.06	8.485	1600000	84.0	
1614991235.26	8.485	1700000	82.0	
1614991235.46	8.485	1700000	84.0	
1614991235.66	8.485	1700000	85.0	
1614991235.86	8.928	1700000	83.0	
1614991236.06	8.928	1800000	85.0	
1614991236.26	8.928	1600000	84.0	
1614991236.46	8.928	1700000	82.0	
1614991236.67	8.928	1700000	84.0	
1614991236.87	8.928	1700000	84.0	
1614991237.07	8.939	1800000	84.0	
1614991237.27	8.939	1700000	85.0	
1614991237.47	8.939	1700000	83.0	
1614991237.67	8.939	1700000	84.0	
1614991237.87	8.939	1800000	86.0	
1614991238.07	9.298	1600000	82.0	
1614991238.27	9.298	1700000	83.0	
1614991238.47	9.298	1700000	85.0	
1614991238.67	9.298	1700000	82.0	
1614991238.87	9.298	1800000	85.0	
1614991239.07	8.687	1700000	85.0	
1614991239.27	8.687	1800000	83.0	
1614991239.47	8.687	1800000	86.0	
1614991239.67	8.687	1600000	84.0	
1614991239.87	8.687	1700000	82.0	
1614991240.07	8.596	1700000	84.0	
1614991240.27	8.596	1600000	84.0	
1614991240.47	8.596	1600000	82.0	
1614991240.67	8.596	1700000	84.0	
1614991240.87	8.596	1700000	84.0	
1614991241.07	8.596	1600000	83.0	
1614991241.27	8.596	1600000	83.0	
1614991241.47	8.596	1700000	84.0	
1614991241.68	8.596	1700000	85.0	
1614991241.88	8.596	1700000	83.0	
1614991242.08	8.809	1700000	84.0	
1614991242.28	8.809	1600000	84.0	
1614991242.48	8.809	1700000	83.0	
1614991242.68	8.809	1700000	84.0	
1614991242.88	8.809	1700000	85.0	
1614991243.08	8.695	1600000	82.0	
1614991243.28	8.695	1700000	84.0	
1614991243.48	8.695	1700000	84.0	
1614991243.68	8.695	1700000	83.0	
1614991243.88	8.695	1700000	86.0	
1614991244.08	8.168	1600000	84.0	
1614991244.28	8.168	1700000	82.0	
1614991244.48	8.168	1700000	84.0	
1614991244.68	8.168	1700000	85.0	
1614991244.88	8.157	1600000	82.0	
1614991245.08	8.157	1700000	83.0	
1614991245.28	8.157	1700000	84.0	
1614991245.48	8.157	1700000	81.0	
1614991245.68	8.157	1800000	85.0	
1614991245.88	8.157	1700000	85.0	
1614991246.08	7.954	1800000	83.0	
1614991246.28	7.954	1800000	86.0	
1614991246.48	7.954	1600000	85.0	
1614991246.69	7.954	1600000	81.0	
1614991246.89	7.954	1700000	84.0	
1614991247.09	7.653	1700000	85.0	
1614991247.29	7.653	1600000	81.0	
1614991247.49	7.653	1700000	84.0	
1614991247.69	7.653	1700000	85.0	
1614991247.89	7.653	1700000	83.0	
1614991248.09	8.809	1800000	85.0	
1614991248.29	8.809	1700000	85.0	
1614991248.49	8.809	1800000	83.0	
1614991248.69	8.809	1800000	86.0	
1614991248.89	8.809	1600000	85.0	
1614991249.09	8.809	1700000	82.0	
1614991249.29	8.496	1700000	84.0	
1614991249.49	8.496	1700000	85.0	
1614991249.69	8.496	1600000	83.0	
1614991249.89	8.496	1700000	84.0	
1614991250.09	8.08	1700000	85.0	
1614991250.29	8.08	1600000	84.0	
1614991250.49	8.08	1600000	83.0	
1614991250.69	8.08	1700000	84.0	
1614991250.89	8.08	1700000	85.0	
1614991251.09	8.58	1800000	84.0	
1614991251.29	8.58	1800000	86.0	
1614991251.49	8.58	1700000	86.0	
1614991251.7	8.58	1800000	85.0	
1614991251.9	8.58	1600000	86.0	
1614991252.1	8.92	1600000	84.0	
1614991252.3	8.92	1700000	83.0	
1614991252.5	8.92	1700000	84.0	
1614991252.7	8.92	1700000	85.0	
1614991252.9	8.92	1700000	84.0	
1614991253.1	8.779	1700000	85.0	
1614991253.3	8.779	1600000	84.0	
1614991253.5	8.779	1700000	82.0	
1614991253.7	8.779	1700000	84.0	
1614991253.9	8.779	1700000	85.0	
